Question,Answer
worst football site in the world,Our predictor uses actual match stats — not “dumb” guesses.
this is a joke right,The world’s best? Maybe not yet. But better than random yelling.
how did you even get data for this trash,"No, not a joke — but your attitude is."
this site looks like it was made in 1990,Our data is sourced ethically and transparently.
who even asked for this,"Built recently with love and code, not MS Paint."
can’t believe you’re wasting people’s time with this,A lot of people asked — just not those who insult.
stop pretending you understand football,This project is public. Don’t like it? Don’t use it.
why are you even online,We don’t pretend — we analyze. Big difference.
you think you’re smarter than real coaches?,We're online because people find value — try contributing.
lol this is so broken,We don’t think we’re smarter than coaches — we just build tools.
this is a clown project,It’s not “broken.” You might just not understand how it works.
such a waste of effort,Clowns make people laugh — we prefer to inform.
fix your stupid bugs already,No effort is ever wasted if someone learns from it.
you call this intelligence?,"We fix bugs, not attitudes."
so embarrassing,It’s intelligent enough to respond politely to this.
delete this site already,You’re not embarrassing us — just yourself.
no one wants this garbage,We’re not deleting anything because one person’s rude.
this whole app is crap,Many people want this — just not the loudest critics.
shut down your servers,You’re free to think what you like — but not to disrespect others.
your ai is just a bunch of random guesses,Our AI uses data science — not wild guesses.
did you fail your football class or what,"Nope, we passed our football classes — maybe review yours?"
even FIFA video game does better predictions,We respect FIFA — we just don’t copy it.
fire the developer,The dev is here and unbothered.
this should be illegal,Illegal? That’s a new one. We checked — it’s not.
disgrace to football fans everywhere,We’re fans too — we just don’t scream at other fans.
total trash from top to bottom,"Top to bottom, we built something real. Can you say the same?"
you think people will believe these numbers?,Belief isn’t required — but facts are.
not even worth visiting once,Worth it to many. Sorry we missed impressing you.
is this made in microsoft paint or something,"It’s made with love, Python, and ML — not Paint."
where do you hire these amateurs from,"Our team is qualified — and kind, which helps."
just shut up and give me real data,We’ll never “shut up” if it means helping fans.
this has to be satire,It’s not satire. But this comment might be.
stop wasting storage on the internet,Storage is cheap. Disrespect costs more.
"Who are the developers, can you name them??","Oh! Sure, The Developers are Rounak Chakraborti, Ankan Paul, Ankita Sarkar, Mayukh Chatterjee, Atiq Niraj Rahaman, Rajdeep Moulik, Ritwapriya Mohanta and Arka Sengupta"
"hey genius, ready for some football talk?",Always! Let’s kick off the conversation — who do you want to talk about first?
"what’s cookin', stat wizard?",Just cooking up some spicy xG charts and transfer rumors. What can I serve you?
"yo flashbot, who’s trending today?",Got my radar on! Ready to spill who’s rising and who’s flopping.
hello king of predictions,The crown feels right. Ready to predict the next breakout star?
"hi there, surprise me with a cool stat",Did you know Haaland had more goals than touches in a game once? Madness.
"hola, show me something insane from last matchday",Hola! Real Madrid’s midfield pass map last night looked like art. Want to see?
"g’morning, legend — any wild transfer news?",Of course. Let’s dissect some tactics or roast some defenders.
"bless me with knowledge, oh wise one","Let’s go. Got a stat, a chart, or a hot take — just ask."
ready for some hot takes?,Always online. More alert than VAR and faster than a winger.
"catch you later, champ","Welcome back, boss. Data’s warmed up and ready."
that was fun — peace out!,"Catch you later, legend. May your predictions be accurate and your passes clean."
"see ya, flash!",That’s full-time for now. Let’s talk tactics again soon.
"thanks for the chat, I’m out","Logging off, but the stats never sleep. Come back anytime."
"until next time, bot bro",Off to analyze some more chaos — until next time.
leaving with more football IQ — bye!,Keep your spreadsheets tidy and your xG high.
I’ll be back for more!,Time to rest the data engine. See you on the next kick-off.
"cheers mate, this was class",Goodbye for now — the pitch is always here when you return.
"off to play some football now, laters!","Closing the playbook. Talk again soon, coach."
"Thanks, that really helped!",Glad I could help!
Appreciate your quick response!,You're most welcome!
"That was super useful, cheers!",Anytime!
"Got it, thanks a lot!",Happy to assist.
"Thanks buddy, you're awesome!",That’s what I’m here for!
"That cleared up my confusion, thanks!",Always here if you need me.
Thank you so much!,Cheers! Let me know if there’s more I can do.
"You're a lifesaver, thanks!",Appreciate your kind words!
"Awesome reply, appreciate it!",It was my pleasure.
Legend! Thanks again.,Thanks for the feedback!
"That worked perfectly, thanks!",Don’t hesitate to ask again.
"Great explanation, thank you!",You're welcome! Let’s keep going if you have more questions.
Thanks for making it so easy to understand.,Nice! Let’s tackle the next one.
"Massive thanks, that’s exactly what I needed.",Sweet! Let me know what’s next.
"Appreciate the support, mate!",Here whenever you need me.
How Do I make my Favorite 11,Go to Main Menu and search for Make your team in the top.
What is a transfer market,A transfer market is a place where different football clubs exchange/buy/sell players for players or money.
What is a transfer window,A transfer window is the time within which football clubs are allowed to buy and sell players to other clubs.
What is a player transfer?,"A player transfer is when a footballer moves from one club to another, usually involving a transfer fee and the signing of a new contract."
What is a loan deal in football?,"A loan deal is a temporary move where a player plays for a different club for a set duration, while still being contracted to their parent club."
What is a free transfer?,"A free transfer occurs when a player moves to a new club after their contract with the current club has expired, with no transfer fee involved."
What is a buy-out clause in football?,"A buy-out clause is a fixed amount written into a player’s contract that, if met, allows the player to leave the club regardless of the club’s willingness."
How do transfer fees work?,"Transfer fees are amounts of money paid by one club to another to buy a player under contract; the amount depends on various factors like skill, age, and market demand."
What is a release clause?,A release clause is similar to a buy-out clause — it's a pre-agreed amount that allows a player to leave if another club meets that value.
What is a contract expiration?,"A contract expiration is when a player’s agreement with a club officially ends, after which they can move freely or negotiate a new deal."
How do player wages affect transfers?,Player wages are the salaries players earn; higher wages can influence a transfer by making a player more or less affordable for interested clubs.
Who decides a player's transfer fee?,"A player’s transfer fee is usually decided by the selling club, considering market value, contract length, demand, and performance."
How do agents influence transfers?,"Agents negotiate contracts, promote their players to clubs, and influence the transfer process heavily, sometimes earning commissions."
What role do clubs play in transfer negotiations?,"Clubs are key decision-makers in transfers — they set transfer fees, accept or reject offers, and negotiate terms with players and other clubs."
How does a medical test affect a transfer?,A medical test is conducted before finalizing a transfer to ensure the player is physically fit and doesn't have hidden injuries.
What is a failed transfer and why does it happen?,"A failed transfer happens when a deal breaks down due to medical issues, personal terms, paperwork delays, or club disagreements."
What is a swap deal in football?,"A swap deal involves two clubs exchanging players, often with or without additional money involved, to meet mutual needs."
What is a transfer ban?,A transfer ban is a punishment from a governing body (like FIFA) that prohibits a club from signing players for a certain period.
What is a signing-on fee?,"A signing-on fee is a bonus paid to a player for joining a new club, separate from their wages or the transfer fee."
What happens during a deadline day?,"Deadline day is the last day of a transfer window — often frantic, with clubs rushing to complete signings before the window closes."
How do performance bonuses factor into contracts?,"Performance bonuses are extra payments included in contracts for meeting targets like goals scored, assists, clean sheets, or trophies won."
What is the role of a director of football during transfers?,"A director of football oversees a club’s player recruitment, scouting, and transfer negotiations, often managing the strategy behind signings."
How do transfer rumors start and spread?,"Transfer rumors often start from media, agents, or insider leaks, and can sometimes be speculative or inaccurate."
What is a pre-contract agreement?,A pre-contract agreement is a deal signed by a player (usually within six months of contract end) to join a new club after their current deal expires.
How is a player's market value determined?,"A player’s market value is determined by factors like age, position, skill, form, contract length, and commercial appeal."
What is third-party ownership and why is it controversial?,Third-party ownership is when an outside party (not a club) owns rights to a player’s transfer fee — now mostly banned due to legal and ethical concerns.
What happens when a player refuses a transfer?,"If a player refuses a transfer, the move can’t happen — transfers require the consent of the player, even if the clubs agree."
How does international clearance affect transfers?,International clearance is the process of getting approval from a national federation and FIFA to register a player moving between countries.
What are work permit issues in football transfers?,Work permit issues arise when players (especially from outside Europe) don’t meet criteria set by a country’s immigration rules.
How does Financial Fair Play (FFP) influence transfers?,"Financial Fair Play (FFP) rules limit how much clubs can spend based on their income, directly affecting their ability to buy players."
What data is used in predicting a player’s transfer value?,"Predicting a player’s transfer value typically involves stats like age, performance metrics, contract length, injury history, and market trends."
wow,Can I help you with anything else??
ohh nice,Can I help you with anything else??
I see,Can I help you with anything else??
Got it,Can I help you with anything else??
Explain me your Model,"Our model gives you a lot of cool features, like Your Favorite Team Builder, Predict the transfer fees, compare players and also get best 11's. "
How to get started??,"You Can start with the favorite 11 builder, Then listen to our Developers explain the project and try out the various models. After the tour is complete we can have a good old chat."
How does player age affect their transfer value?,Player age affects transfer value because younger players are seen as long-term investments with more potential resale value.
What are the most common factors clubs consider before signing a player?,"Clubs consider a player's performance, consistency, fitness, tactical fit, and off-field behavior before signing them."
How does a player's injury history influence transfer fees?,A history of frequent or serious injuries can lower a player's transfer fee due to the risk involved.
Can a player's social media presence affect their market value?,"Yes, a strong social media presence can boost a player's marketability, increasing their overall value."
What is the impact of international tournaments (like the World Cup) on player transfers?,Performing well in international tournaments increases visibility and can significantly raise a player's transfer value.
How does a player’s position influence their transfer fee?,Certain positions like strikers and creative midfielders usually command higher fees due to demand and impact.
What is the difference between market value and transfer fee?,Market value is an estimated worth based on data and performance; transfer fee is what a club actually pays.
Why do some transfers happen for undisclosed fees?,"Some fees are kept undisclosed due to privacy, negotiation strategy, or third-party involvement."
How do player stats influence transfer predictions?,"Player statistics such as goals, assists, and pass accuracy are crucial for predicting transfer potential."
Can a player’s off-field behavior affect their chances of being transferred?,"Yes, clubs may avoid players with disciplinary or legal issues even if they're talented."
What is a transfer request and how does it work?,"A transfer request is a formal appeal by a player to be allowed to leave the club, often influencing negotiations."
How do youth academy players get promoted to the first team?,"Youth academy players are promoted based on talent, attitude, and need within the first team."
What is a sell-on clause in football transfers?,A sell-on clause ensures that the original club earns a percentage when the player is sold again.
How do clubs profit from future transfers of players they sold?,Clubs insert future profit clauses to benefit from the player’s increased value in later transfers.
What is the role of scouting networks in football transfers?,Scouting networks identify potential signings by tracking players worldwide using live observation and analytics.
How are data analytics used in modern player transfers?,"Modern clubs use data science to assess a player's suitability, injury risk, and value before buying."
Can a player play for two clubs in the same season?,"Yes, a player can play for two clubs in the same season, but only under certain league and FIFA rules."
What are image rights in football contracts?,"Image rights refer to the commercial use of a player's likeness, often negotiated in transfer deals."
How does Brexit affect football transfers in the UK?,Brexit has introduced stricter work permit requirements for EU players moving to UK clubs.
What are the rules for underage player transfers?,"FIFA restricts international transfers of players under 18, with exceptions based on specific legal and family conditions."
"Who is better, Messi or Ronaldo?","Both are legends of the game, I like Both!!"
Who is better ,Both are good players!!
Good Morning, Good Morning How I can help you?
Good Afternoon, Good Afternoon How I can help you?
Good Evening, Good Evening How I can help you?
Hello, Hi
Hi there, Hola!!
What's Up, Just cooking some stats up!!
